,id,date,type,value,elo,avg_brightness,avg_entropy,avg_hm,img,title
13,1591721298-8520,1887-01-01,valence,0.7157105760670001,362.5252855,152.10129136305588,20.841707577972016,9.649514341898383,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Vincent_van_Gogh_-_Bridges_across_the_Seine_at_Asnieres.jpg/1024px-Vincent_van_Gogh_-_Bridges_across_the_Seine_at_Asnieres.jpg,Bridges across the Seine at Asnières
14,1591721298-8520,1887-01-01,creativity,0.659748991797,227.29552415900002,152.10129136305588,20.841707577972016,9.649514341898383,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Vincent_van_Gogh_-_Bridges_across_the_Seine_at_Asnieres.jpg/1024px-Vincent_van_Gogh_-_Bridges_across_the_Seine_at_Asnieres.jpg,Bridges across the Seine at Asnières
15,1591721298-8520,1887-01-01,arousal,0.666652794006,256.545589994,152.10129136305588,20.841707577972016,9.649514341898383,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Vincent_van_Gogh_-_Bridges_across_the_Seine_at_Asnieres.jpg/1024px-Vincent_van_Gogh_-_Bridges_across_the_Seine_at_Asnieres.jpg,Bridges across the Seine at Asnières
16,1591721298-8261,1885-06-01,creativity,0.374396108658,-187.162840456,177.63838725510035,20.828660818699678,1.7825604450660415,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Van_Gogh_-_Bauernhaus1.jpeg/1024px-Van_Gogh_-_Bauernhaus1.jpeg,Cottage
17,1591721298-8261,1885-07-01,creativity,0.374396108658,-187.162840456,177.63838725510035,20.828660818699678,1.7825604450660415,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Van_Gogh_-_Bauernhaus1.jpeg/1024px-Van_Gogh_-_Bauernhaus1.jpeg,Cottage
18,1591721298-8261,1885-06-01,arousal,0.405016719845,-128.431952729,177.63838725510035,20.828660818699678,1.7825604450660415,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Van_Gogh_-_Bauernhaus1.jpeg/1024px-Van_Gogh_-_Bauernhaus1.jpeg,Cottage
19,1591721298-8261,1885-07-01,arousal,0.405016719845,-128.431952729,177.63838725510035,20.828660818699678,1.7825604450660415,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Van_Gogh_-_Bauernhaus1.jpeg/1024px-Van_Gogh_-_Bauernhaus1.jpeg,Cottage
20,1591721298-8261,1885-06-01,valence,0.542679258995,67.95113106390001,177.63838725510035,20.828660818699678,1.7825604450660415,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Van_Gogh_-_Bauernhaus1.jpeg/1024px-Van_Gogh_-_Bauernhaus1.jpeg,Cottage
21,1591721298-8261,1885-07-01,valence,0.542679258995,67.95113106390001,177.63838725510035,20.828660818699678,1.7825604450660415,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Van_Gogh_-_Bauernhaus1.jpeg/1024px-Van_Gogh_-_Bauernhaus1.jpeg,Cottage
22,1591721298-8261,1885-06-01,cohesivity,0.556301758488,125.777044715,177.63838725510035,20.828660818699678,1.7825604450660415,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Van_Gogh_-_Bauernhaus1.jpeg/1024px-Van_Gogh_-_Bauernhaus1.jpeg,Cottage
23,1591721298-8261,1885-07-01,cohesivity,0.556301758488,125.777044715,177.63838725510035,20.828660818699678,1.7825604450660415,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Van_Gogh_-_Bauernhaus1.jpeg/1024px-Van_Gogh_-_Bauernhaus1.jpeg,Cottage
24,1591721298-8662,1888-10-01,arousal,0.6075989589399999,131.788120165,123.40188928652796,20.865858143195805,11.551746451272821,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Vincent_Willem_van_Gogh_030.jpg/1024px-Vincent_Willem_van_Gogh_030.jpg,The Trinquetaille Bridge
25,1591721298-8662,1888-10-01,valence,0.445046110807,-78.3696410838,123.40188928652796,20.865858143195805,11.551746451272821,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Vincent_Willem_van_Gogh_030.jpg/1024px-Vincent_Willem_van_Gogh_030.jpg,The Trinquetaille Bridge
26,1591721298-8662,1888-10-01,creativity,0.511675889368,-12.027793201300002,123.40188928652796,20.865858143195805,11.551746451272821,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Vincent_Willem_van_Gogh_030.jpg/1024px-Vincent_Willem_van_Gogh_030.jpg,The Trinquetaille Bridge
27,1591721298-8662,1888-10-01,cohesivity,0.5861553665429999,127.894327665,123.40188928652796,20.865858143195805,11.551746451272821,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Vincent_Willem_van_Gogh_030.jpg/1024px-Vincent_Willem_van_Gogh_030.jpg,The Trinquetaille Bridge
28,1591721298-8765,1889-09-01,cohesivity,0.567824076916,150.785681892,141.76167999148834,20.86167085241313,5.0017856996885115,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Vincent_Willem_van_Gogh_102.jpg/1024px-Vincent_Willem_van_Gogh_102.jpg,Self-portrait without beard
29,1591721298-8765,1889-09-01,creativity,0.573710217002,92.7224492182,141.76167999148834,20.86167085241313,5.0017856996885115,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Vincent_Willem_van_Gogh_102.jpg/1024px-Vincent_Willem_van_Gogh_102.jpg,Self-portrait without beard
30,1591721298-8765,1889-09-01,valence,0.431784413572,-44.476764158,141.76167999148834,20.86167085241313,5.0017856996885115,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Vincent_Willem_van_Gogh_102.jpg/1024px-Vincent_Willem_van_Gogh_102.jpg,Self-portrait without beard
31,1591721298-8765,1889-09-01,arousal,0.490946238839,-69.9760603167,141.76167999148834,20.86167085241313,5.0017856996885115,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Vincent_Willem_van_Gogh_102.jpg/1024px-Vincent_Willem_van_Gogh_102.jpg,Self-portrait without beard
32,1591721298-8528,1887-01-01,creativity,0.544291994293,54.3314252215,100.94352067865135,20.58587143918892,9.647104032300986,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Vincent_van_Gogh_-_Boeket_bloemen_in_een_vaas.jpg/1024px-Vincent_van_Gogh_-_Boeket_bloemen_in_een_vaas.jpg,Chrysanthemums and Wild Flowers in a Vase
33,1591721298-8528,1887-01-01,valence,0.600047480533,201.17955378599999,100.94352067865135,20.58587143918892,9.647104032300986,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Vincent_van_Gogh_-_Boeket_bloemen_in_een_vaas.jpg/1024px-Vincent_van_Gogh_-_Boeket_bloemen_in_een_vaas.jpg,Chrysanthemums and Wild Flowers in a Vase
34,1591721298-8528,1887-01-01,arousal,0.542503860566,64.0732872609,100.94352067865135,20.58587143918892,9.647104032300986,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Vincent_van_Gogh_-_Boeket_bloemen_in_een_vaas.jpg/1024px-Vincent_van_Gogh_-_Boeket_bloemen_in_een_vaas.jpg,Chrysanthemums and Wild Flowers in a Vase
